onset	duration	trial_type
70.58	1.75	Control
72.33	1.75	Control
74.08	1.75	Control
75.83	1.75	Control
77.58	1.75	Control
79.33	1.75	Control
81.08	1.75	Control
82.83	1.75	Control
84.58	1.75	Control
86.33	1.75	Control
88.08	1.75	Control
89.83	1.75	Control
91.58	1.75	Control
93.33	1.75	Control
95.08	1.75	Control
96.83	1.75	Control
98.58	1.75	Control
100.33	1.75	Control
102.08	1.75	Control
103.83	1.75	Control
105.58	1.75	Control
107.33	1.75	Control
109.08	1.75	Control
110.83	1.75	Control
154.58	1.75	Control
156.33	1.75	Control
158.08	1.75	Control
159.83	1.75	Control
161.58	1.75	Control
163.33	1.75	Control
165.08	1.75	Control
166.83	1.75	Control
168.58	1.75	Control
170.33	1.75	Control
172.08	1.75	Control
173.83	1.75	Control
175.58	1.75	Control
177.33	1.75	Control
179.08	1.75	Control
180.83	1.75	Control
182.58	1.75	Control
184.33	1.75	Control
186.08	1.75	Control
187.83	1.75	Control
189.58	1.75	Control
191.33	1.75	Control
193.08	1.75	Control
194.83	1.75	Control
238.58	1.75	Control
240.33	1.75	Control
242.08	1.75	Control
243.83	1.75	Control
245.58	1.75	Control
247.33	1.75	Control
249.08	1.75	Control
250.83	1.75	Control
252.58	1.75	Control
254.33	1.75	Control
256.08	1.75	Control
257.83	1.75	Control
259.58	1.75	Control
261.33	1.75	Control
263.08	1.75	Control
264.83	1.75	Control
266.58	1.75	Control
268.33	1.75	Control
270.08	1.75	Control
271.83	1.75	Control
273.58	1.75	Control
275.33	1.75	Control
277.08	1.75	Control
278.83	1.75	Control
322.58	1.75	Control
324.33	1.75	Control
326.08	1.75	Control
327.83	1.75	Control
329.58	1.75	Control
331.33	1.75	Control
333.08	1.75	Control
334.83	1.75	Control
336.58	1.75	Control
338.33	1.75	Control
340.08	1.75	Control
341.83	1.75	Control
343.58	1.75	Control
345.33	1.75	Control
347.08	1.75	Control
348.83	1.75	Control
350.58	1.75	Control
352.33	1.75	Control
354.08	1.75	Control
355.83	1.75	Control
357.58	1.75	Control
359.33	1.75	Control
361.08	1.75	Control
362.83	1.75	Control
364.58	1.75	Control
30.33	1.75	Interference
32.08	1.75	Interference
33.83	1.75	Interference
35.58	1.75	Interference
37.33	1.75	Interference
39.08	1.75	Interference
40.83	1.75	Interference
42.58	1.75	Interference
44.33	1.75	Interference
46.08	1.75	Interference
47.83	1.75	Interference
49.58	1.75	Interference
51.33	1.75	Interference
53.08	1.75	Interference
54.83	1.75	Interference
56.58	1.75	Interference
58.33	1.75	Interference
60.08	1.75	Interference
61.83	1.75	Interference
63.58	1.75	Interference
65.33	1.75	Interference
67.08	1.75	Interference
68.83	1.75	Interference
112.58	1.75	Interference
114.33	1.75	Interference
116.08	1.75	Interference
117.83	1.75	Interference
119.58	1.75	Interference
121.35	1.75	Interference
123.08	1.75	Interference
124.83	1.75	Interference
126.58	1.75	Interference
128.33	1.75	Interference
130.08	1.75	Interference
131.83	1.75	Interference
133.58	1.75	Interference
135.33	1.75	Interference
137.08	1.75	Interference
138.83	1.75	Interference
140.58	1.75	Interference
142.33	1.75	Interference
144.08	1.75	Interference
145.83	1.75	Interference
147.58	1.75	Interference
149.33	1.75	Interference
151.08	1.75	Interference
152.83	1.75	Interference
196.58	1.75	Interference
198.33	1.75	Interference
200.08	1.75	Interference
201.83	1.75	Interference
203.58	1.75	Interference
205.33	1.75	Interference
207.08	1.75	Interference
208.83	1.75	Interference
210.58	1.75	Interference
212.33	1.75	Interference
214.08	1.75	Interference
215.83	1.75	Interference
217.58	1.75	Interference
219.33	1.75	Interference
221.08	1.75	Interference
222.83	1.75	Interference
224.58	1.75	Interference
226.33	1.75	Interference
228.08	1.75	Interference
229.83	1.75	Interference
231.58	1.75	Interference
233.33	1.75	Interference
235.08	1.75	Interference
236.83	1.75	Interference
280.58	1.75	Interference
282.33	1.75	Interference
284.08	1.75	Interference
285.83	1.75	Interference
287.58	1.75	Interference
289.33	1.75	Interference
291.08	1.75	Interference
292.83	1.75	Interference
294.58	1.75	Interference
296.33	1.75	Interference
298.08	1.75	Interference
299.83	1.75	Interference
301.58	1.75	Interference
303.33	1.75	Interference
305.08	1.75	Interference
306.83	1.75	Interference
308.58	1.75	Interference
310.33	1.75	Interference
312.08	1.75	Interference
313.83	1.75	Interference
315.58	1.75	Interference
317.33	1.75	Interference
319.08	1.75	Interference
320.83	1.75	Interference